Metric,Model
Simulation time (sec),100
Cycle time (sec),12.36043165467626
Throughput (items/sec),1.39
Utilization,---
Combiner1 - SETUP_STATE,0.0
Combiner1 - IDLE_STATE,31.199999999999996
Combiner1 - PROCESSING_STATE,0.0
Combiner1 - BLOCKED_STATE,68.80000000000001
Combiner1- with 0 worker threads,1.7999999999999967
Combiner1- with 1 worker threads,98.2
Time avg content in buffers  ,---
BUFFER1,4.957000000000001
BUFFER2,4.423999999999997
BUFFER3,4.789
BUFFER4,4.745
BUFFER5,0.0
BUFFER6,4.535
BUFFER7,4.97
